lambda[1] 0.01

coefficients
                  1
  [1,] -0.245866658
  [2,]  0.909335925
  [3,]  0.316174088
  [4,]  0.994492791
  [5,] -0.236944082
  [6,]  1.206657390
  [7,] -0.500334123
  [8,]  0.772725547
  [9,] -0.343826866
 [10,]  1.576620740
 [11,]  1.605738027
 [12,] -1.499948024
 [13,] -0.383673043
 [14,]  1.143244683
 [15,] -0.496026839
 [16,] -0.960632247
 [17,] -0.810315878
 [18,] -0.134220760
 [19,]  0.668243841
 [20,]  0.992602471
 [21,] -0.664718194
 [22,]  0.860875561
 [23,] -0.883357186
 [24,] -0.023178860
 [25,] -1.218384363
 [26,]  0.248395676
 [27,]  0.362370571
 [28,] -0.057491426
 [29,]  2.585210411
 [30,]  0.714229126
 [31,]  0.629736320
 [32,] -0.926749088
 [33,]  0.228814885
 [34,] -1.448288235
 [35,] -0.931418495
 [36,] -0.020570308
 [37,]  0.511337520
 [38,]  1.056360997
 [39,]  0.024942893
 [40,] -0.290911644
 [41,] -0.744479829
 [42,]  1.295172146
 [43,] -0.115319586
 [44,]  0.818791993
 [45,]  1.081305058
 [46,]  1.069058249
 [47,]  1.357481623
 [48,]  0.575767403
 [49,] -1.338089336
 [50,]  0.819603640
 [51,]  0.275352950
 [52,] -0.450141115
 [53,]  0.252449385
 [54,]  0.831658014
 [55,] -1.460547094
 [56,] -1.597850301
 [57,] -0.111817111
 [58,] -0.498871576
 [59,] -0.249783675
 [60,]  0.122024051
 [61,]  0.231747352
 [62,] -0.605626666
 [63,] -1.591512029
 [64,] -0.516070227
 [65,] -0.982546569
 [66,]  0.175039451
 [67,]  1.687056673
 [68,]  0.673844062
 [69,]  0.648012139
 [70,]  1.081955016
 [71,] -0.137872833
 [72,]  1.162065371
 [73,]  0.269799709
 [74,]  0.165277449
 [75,]  0.844085187
 [76,] -0.874775254
 [77,]  0.138608463
 [78,] -0.588653890
 [79,] -0.091649883
 [80,] -1.162416503
 [81,] -0.450263555
 [82,] -0.587957170
 [83,]  0.108105176
 [84,] -1.563388358
 [85,] -1.072415488
 [86,]  2.319525524
 [87,]  0.558799658
 [88,] -0.946905767
 [89,]  0.258158696
 [90,]  1.257682700
 [91,]  0.950200370
 [92,]  0.647554517
 [93,] -0.820232199
 [94,]  0.700709025
 [95,] -0.895831255
 [96,] -1.622829202
 [97,]  1.491358295
 [98,] -0.523856115
 [99,] -0.063284434
[100,]  1.481508059
[101,] -0.433826428
[102,] -0.099111828
[103,]  1.961490803
[104,]  1.119679876
[105,]  0.452155580
[106,] -0.441751064
[107,] -1.638884299
[108,] -0.832908857
[109,] -0.300433853
[110,] -0.263357615
[111,] -0.769061416
[112,] -0.875854636
[113,]  1.038283253
[114,]  0.539350716
[115,] -0.360469155
[116,]  0.106579639
[117,] -1.384142735
[118,]  1.511405464
[119,] -1.271042218
[120,] -1.610057343
[121,] -1.730525905
[122,]  0.214263923
[123,]  0.754862168
[124,] -1.537141251
[125,] -1.176315250
[126,] -1.136749157
[127,]  1.710584418
[128,] -1.060481402
[129,]  1.613822040
[130,] -0.345240950
[131,]  0.622769115
[132,] -1.189721045
[133,]  0.705862313
[134,]  0.907038140
[135,]  0.762095705
[136,] -0.845029535
[137,] -0.624998906
[138,] -0.540680875
[139,] -1.259026867
[140,]  2.055085286
[141,]  1.711451290
[142,]  0.271714364
[143,]  0.522235294
[144,]  0.473785707
[145,] -0.727205554
[146,]  0.219683089
[147,]  0.533688629
[148,] -1.528549727
[149,] -0.984845413
[150,] -1.597620341
[151,]  0.243130952
[152,]  0.074450408
[153,] -0.526191801
[154,] -0.889081075
[155,] -1.193430579
[156,] -1.483603290
[157,] -0.039124269
[158,]  1.033887030
[159,]  0.350439285
[160,] -1.203136034
[161,]  0.616542767
[162,] -1.564238181
[163,]  1.031622551
[164,] -0.869758360
[165,]  0.117462752
[166,]  0.236297783
[167,] -1.054948369
[168,] -1.294314953
[169,] -0.954600756
[170,]  1.075210837
[171,] -1.472599655
[172,] -0.373613062
[173,] -0.604595070
[174,]  0.333594070
[175,]  2.031557758
[176,] -1.209306439
[177,] -0.872785586
[178,] -0.215697881
[179,] -0.082205348
[180,]  1.384063308
[181,] -0.083816465
[182,]  0.117713871
[183,]  0.572338404
[184,] -0.910389733
[185,]  1.873640708
[186,] -0.129538603
[187,] -0.442594515
[188,] -1.285333670
[189,]  0.907755023
[190,] -0.556444739
[191,]  0.094467160
[192,]  2.363351342
[193,] -0.297471126
[194,]  1.770167685
[195,] -1.368667903
[196,]  0.567113898
[197,]  0.526845338
[198,] -0.653786660
[199,] -1.320772318
[200,]  0.122928636
[201,]  0.524684501
[202,]  0.999511795
[203,] -1.550492346
[204,]  1.699340064
[205,]  0.015898087
[206,]  0.225224979
[207,] -1.155013608
[208,]  1.329779685
[209,] -0.434795174
[210,]  0.623479000
[211,] -0.691197407
[212,]  0.516315528
[213,] -0.269252335
[214,]  0.246004676
[215,]  0.413672738
[216,] -0.268599247
[217,] -0.760144650
[218,]  0.765481161
[219,] -0.414183543
[220,]  0.235021274
[221,]  1.447429578
[222,]  1.405228276
[223,]  1.856934350
[224,]  0.158758081
[225,]  0.551939134
[226,]  0.939915648
[227,]  1.067026609
[228,]  0.125708513
[229,] -0.551350917
[230,]  1.101385043
[231,]  0.341573475
[232,]  0.373105806
[233,]  0.363482113
[234,] -0.963764345
[235,]  1.469516090
[236,] -0.542391121
[237,]  0.068754493
[238,] -0.006463600
[239,] -0.720558810
[240,] -0.569435677
[241,] -0.575205241
[242,] -1.772807166
[243,] -0.736830309
[244,]  0.629437361
[245,] -1.403978196
[246,] -1.354436284
[247,] -0.471091276
[248,] -1.353223576
[249,] -0.938448881
[250,] -0.635612641
[251,] -0.892341610
[252,] -0.582407741
[253,]  1.665684925
[254,] -0.324550425
[255,]  1.000208831
[256,] -0.634981662
[257,] -1.567719925
[258,] -1.012603850
[259,] -1.245386027
[260,]  0.994238457
[261,] -0.177944611
[262,]  1.258746767
[263,] -0.042807054
[264,] -0.562373739
[265,]  0.332410029
[266,]  0.162007189
[267,] -0.681792008
[268,]  0.809798632
[269,] -1.629778627
[270,]  0.508166678
[271,] -0.698393302
[272,] -0.111508595
[273,]  0.503961993
[274,]  1.342282172
[275,]  0.848453052
[276,]  0.346770557
[277,] -0.522175997
[278,]  0.022131355
[279,] -0.134462599
[280,] -0.253339577
[281,]  0.065046205
[282,] -1.473603552
[283,]  1.489737935
[284,]  0.821995764
[285,] -1.185518022
[286,] -1.408099242
[287,] -1.472536499
[288,] -1.134507237
[289,]  0.659056552
[290,] -0.035474978
[291,] -0.544184905
[292,] -0.314530995
[293,]  0.006163671
[294,]  2.269286024
[295,] -1.259005202
[296,] -1.570785629
[297,] -0.285275103
[298,] -0.493648171
[299,] -0.979654006
[300,]  0.378124561
[301,]  0.191502862
[302,] -0.482772901
[303,] -0.262502498
[304,] -0.083094340
[305,]  0.824478936
[306,] -1.373109790
[307,] -0.662938805
[308,] -1.035123881
[309,]  0.262839151
[310,]  0.684810444
[311,]  1.039404122
[312,]  0.624717797
[313,]  0.538753129
[314,]  0.714290256
[315,]  1.301865561
[316,] -0.072685954
[317,]  1.196502041
[318,] -0.557893966
[319,] -1.550997903
[320,] -0.893844643
[321,] -0.718161816
[322,] -0.733358045
[323,] -0.376768735
[324,]  2.941887684
[325,] -0.075148382
[326,]  0.417063610
[327,]  1.706120043
[328,]  1.007261452
[329,] -0.574355375
[330,]  0.649342305
[331,]  1.008553475
[332,] -0.071958592
[333,] -0.141844247
[334,] -0.512640512
[335,]  0.198073881
[336,] -0.495994060
[337,]  0.793437735
[338,] -1.649167168
[339,]  0.182128092
[340,]  1.237828995
[341,] -0.261119067
[342,] -0.093452109
[343,] -0.446285523
[344,] -0.153370220
[345,]  0.309868000
[346,] -1.680898523
[347,]  0.787403971
[348,]  1.423418774
[349,] -1.628912760
[350,]  0.099927706
[351,] -1.569010731
[352,] -0.220471568
[353,]  0.277175637
[354,] -0.111916675
[355,] -0.120495806
[356,]  1.781150137
[357,]  0.843311125
[358,] -1.353301661
[359,] -0.116161141
[360,]  0.286869738
[361,]  0.444305866
[362,] -0.145428368
[363,]  0.421000773
[364,]  0.261732041
[365,]  1.407852895
[366,]  0.782721211
[367,]  1.419317962
[368,] -0.481974802
[369,] -0.131100360
[370,]  1.426590257
[371,]  0.952296093
[372,] -1.461843007
[373,]  0.663901995
[374,]  0.938092529
[375,]  0.224972458
[376,]  0.871774175
[377,]  0.576286441
[378,] -1.599403801
[379,]  0.382060978
[380,] -1.406515805
[381,]  0.418173399
[382,]  0.812839313
[383,]  1.531543437
[384,] -0.161025509
[385,] -1.258286116
[386,]  0.651670832
[387,] -0.233255664
[388,] -1.549616715
[389,]  1.107005270
[390,]  0.571401237
[391,]  1.760085157
[392,]  0.452917228
[393,] -1.142518907
[394,] -1.558651773
[395,]  0.407466966
[396,]  0.074889477
[397,] -0.034456173
[398,] -0.540860771
[399,] -1.317011032
[400,]  0.851197544
